news_channel,url
The Independent,http://independent.co.uk/
Color Research & Application,https://onlinelibrary.wiley.com/journal/15206378
Tes,https://tes.com
Educational Studies,http://tandfonline.com
ACS Publications,https://pubs.acs.org
JAMA Surgery,http://archsurg.jamanetwork.com
HuffPost UK,http://huffingtonpost.co.uk
Cell,http://cell.com
Writer's Digest,http://writersdigest.com
Revista Época,https://oglobo.globo.com/epoca/
Terra,http://terra.com.br
The Telegraph,https://www.telegraph.co.uk/
Yahoo India,https://in.news.yahoo.com/
Yahoo News,https://news.yahoo.com/
Yahoo,https://yahoo.com/
Voice of America (VOA),http://voanews.com/
Yahoo Brazil,http://br.yahoo.com
Voz de América,https://www.vozdeamerica.com/
Variety,http://variety.com/
Connecticut Post,http://ctpost.com/
Greenwich Time,http://greenwichtime.com
Charleston Gazette-Mail,http://wvgazettemail.com
Danbury News-Times,http://newstimes.com
The Telegraph (Macon),http://macon.com
Baptist Standard,http://baptiststandard.com
The Alabama Baptist,http://www.thealabamabaptist.org/
The Pathway,http://mbcpathway.com
The Aquila Report,http://theaquilareport.com/
Authority Magazine,https://medium.com/authority-magazine
The Epoch Times,https://www.theepochtimes.com/
Thrive Global,http://thriveglobal.com
The Star (Kenya),http://the-star.co.ke
The Stage,http://thestage.co.uk
History Today,http://historytoday.com
SIAM News,http://sinews.siam.org
The Actuary (IFoA),http://theactuary.com
SwissInfo.ch,http://swissinfo.ch
UOL Notícias,http://noticias.uol.com.br
BBC Mundo,http://www.bbc.com/mundo
La Nación (Argentina),http://lanacion.com.ar
El Imparcial,http://elimparcial.com
AllAfrica,http://allafrica.com
The New Humanitarian,http://thenewhumanitarian.org
Zodiak Broadcasting Station,http://zodiakmalawi.com/
EMEA Tribune,http://emeatribune.com
Estado De Minas,http://em.com.br
Euronews,http://euronews.com
Agenda (World Economic Forum),https://weforum.org/agenda
Sensacine,http://sensacine.com
Sotheby's Magazine,http://sothebys.com
La Prensa Gráfica,http://laprensagrafica.com
Winnipeg Free Press,https://www.winnipegfreepress.com/
Yorkshire Evening Post,http://yorkshireeveningpost.co.uk/
Deseret News,https://deseret.com/
Des Moines Register,http://desmoinesregister.com/
London Review of Books,http://lrb.co.uk
CornwallLive,http://cornwalllive.com
This Is Local London,http://thisislocallondon.co.uk
Ealing Times,http://ealingtimes.co.uk
Hillingdon Times,http://hillingdontimes.co.uk
The Baptist Messenger,http://baptistmessenger.com
Splash UOL,https://www.uol.com.br/splash/
UOL,http://uol.com.br
Yahoo Entertainment,https://www.yahoo.com/entertainment/
Bad Deck Breakdowns,
Yahoo Canada,https://ca.news.yahoo.com/
Daily Mail,https://www.dailymail.co.uk/home/index.html
Post Outlook (The Washington Post),https://www.washingtonpost.com/outlook/
The Wall Street Journal,http://wsj.com/
The Times,http://thetimes.co.uk/
AIR MAIL,http://airmail.news
CrimeReads,http://crimereads.com
The Conversation,http://theconversation.com
Phys.org,http://phys.org
Buffalo News,http://buffalonews.com/
Honolulu Star-Advertiser,http://staradvertiser.com/
Schools Week,http://schoolsweek.co.uk
Yale Daily News,http://yaledailynews.com
The Daily Californian,http://dailycal.org
Brighton Magazine,http://magazine.brighton.co.uk
Delta Democrat Times,http://ddtonline.com
TeachingTimes,http://teachingtimes.com
Yahoo News Australia,https://au.news.yahoo.com/
Yahoo Finance,https://finance.yahoo.com/
Yahoo Sports,https://sports.yahoo.com/
Medium,http://medium.com/
The Globe and Mail,http://theglobeandmail.com
New Zealand Herald,http://nzherald.co.nz/
Baltimore Sun,http://baltimoresun.com/
Taylor & Francis,https://tandfonline.com/
Royal Society of Chemistry,http://pubs.rsc.org
The (Toronto) Star,http://thestar.com/
National Post,http://nationalpost.com/
Ottawa Citizen,http://ottawacitizen.com
Journal of Food Protection,https://meridian.allenpress.com/jfp
Leadership Newspaper,http://leadership.ng
International Tax Review,http://internationaltaxreview.com
Caledon Enterprise,http://caledonenterprise.com
Daily Mirror,http://mirror.co.uk/
Daily Express,http://express.co.uk/
The Chronicle,http://chroniclelive.co.uk/
Yorkshire Live,http://examinerlive.co.uk
News Sniffer,http://newssniffer.co.uk
Play Crazy Game,http://playcrazygame.com
Yerepouni Daily News,http://yerepouni-news.com
G1,http://g1.globo.com
The Guardian,http://theguardian.com/
Forbes,http://forbes.com
The IMDb Show,http://imdb.com/show
Newsweek,http://newsweek.com
The Hollywood Reporter,http://hollywoodreporter.com/
People Magazine,http://people.com
New York Magazine,http://nymag.com
Yahoo Singapore,https://sg.news.yahoo.com/
Financial Times,http://ft.com/
The Times of India,http://timesofindia.indiatimes.com
Business Standard,http://business-standard.com/
TODAY (Singapore),http://todayonline.com
Business Post,http://businesspost.ie/
Daily Business,http://dailybusinessgroup.co.uk
Flipboard,http://flipboard.com
Business.com,http://business.com
BBC Radio 4,https://bbc.co.uk/radio4
Folha de S.Paulo,https://www.folha.uol.com.br/
Época Negócios,http://epocanegocios.globo.com
HuffPost,https://huffpost.com/
iG,http://ig.com.br
Nature,http://nature.com
Devon Live,http://devonlive.com
ABC News (Australia),http://abc.net.au/news/
USA Today,http://usatoday.com/
ABC Science,https://www.abc.net.au/news/science/
NBC News,http://nbcnews.com
Wiley Online Library,http://onlinelibrary.wiley.com
Business Insider,https://www.businessinsider.com/
The Hill,http://thehill.com/
United Press International (UPI),http://upi.com
Computer Weekly,http://computerweekly.com
Irish Mirror,http://irishmirror.ie
San Francisco Chronicle,http://sfchronicle.com
BBC Sport,http://www.bbc.com/sport
Eastern Daily Press,http://edp24.co.uk
The Times of Northwest Indiana,http://nwitimes.com
Byline Times,http://bylinetimes.com
Lithuanian National Television,http://lrt.lt
On Line Opinion,http://onlineopinion.com.au
InYourArea.co.uk,http://inyourarea.co.uk
Yahoo Sports Canada,https://ca.sports.yahoo.com
Christian Today,http://christiantoday.com
Lexology,http://lexology.com
Luxury Daily,http://luxurydaily.com
Bookreporter,http://bookreporter.com
Birmingham Live,http://birminghammail.co.uk
Semana,http://semana.com
Radio New Zealand (RNZ),https://rnz.co.nz/
Nepali Times,http://nepalitimes.com
Groundviews,http://groundviews.org
BBC,https://bbc.co.uk/
BBC World Service,http://bbc.co.uk/worldserviceradio
Philadelphia Inquirer,https://inquirer.com/
aeon,http://aeon.co
Storyful,http://storyful.com/
Neos Kosmos,http://neoskosmos.com
Monterey County Weekly,http://montereycountyweekly.com
Health Digest,http://healthdigest.com
Doximity's Op-Med,https://opmed.doximity.com/
Inner Power,https://innerself.com
BBC Radio Cumbria,https://www.bbc.co.uk/sounds/play/live:bbc_radio_cumbria
Yahoo News Malaysia,https://malaysia.news.yahoo.com/
Metro (UK),http://metro.co.uk
Memory Studies,https://journals.sagepub.com/home/mss
MSN,http://msn.com/
Canadian Journal of Higher Education,http://journals.sfu.ca/cjhe/index.php/cjhe
MalaysianDigest.com,http://malaysiandigest.com
The Atlantic,http://theatlantic.com
Investopedia,http://investopedia.com
Expansión,http://expansion.com
Nasdaq,http://nasdaq.com
Seeking Alpha,http://seekingalpha.com
City A.M.,http://cityam.com/
Christianity Today,http://christianitytoday.com
Mehr News Agency,http://en.mehrnews.com
The Architects' Journal,http://architectsjournal.co.uk
Nursing Times,http://nursingtimes.net
Health Service Journal,http://hsj.co.uk
Pulse Magazine,http://pulsetoday.co.uk
Children & Young People Now,http://cypnow.co.uk
Local Government Chronicle,http://lgcplus.com
African-American News & Issues,http://aframnews.com
Bloomberg News,http://bloomberg.com
Eurogamer,http://eurogamer.net
Frontline Gastroenterology,http://fg.bmj.com/
PC Gamer,http://pcgamer.com
PC Gamer (UK),https://pcgamer.com/uk/
Glamorgan Gazette,http://walesonline.co.uk/all-about/bridgend
Manchester Evening News,http://manchestereveningnews.co.uk
Wales Online,https://www.walesonline.co.uk/
Her Campus,http://hercampus.com
Nottingham Post,http://nottinghampost.com/
Derby Telegraph,http://derbytelegraph.co.uk
User Walls,http://userwalls.com
Global Financial Market Review,http://gfmreview.com
Yahoo News UK,https://uk.news.yahoo.com/
Evening Standard,http://standard.co.uk/
The Standard (Kenya),http://standardmedia.co.ke
Yahoo Finanças,https://br.financas.yahoo.com/
Disrupt Africa,http://disrupt-africa.com
The New York Times,http://nytimes.com/
Fast Company,http://fastcompany.com/
Fortune,http://fortune.com
Quartz,http://qz.com/
The Next Web,http://thenextweb.com/
The Maravi Post,http://maravipost.com
Sydney Morning Herald,http://smh.com.au
European Urban and Regional Studies,http://eur.sagepub.com/
The Age,http://theage.com.au
