author_name,news_channel,url
Stephen-Evans,The Independent,http://independent.co.uk/
Stephen-Evans,Color Research & Application,https://onlinelibrary.wiley.com/journal/15206378
Stephen-Evans,Tes,https://tes.com
Stephen-Evans,Educational Studies,http://tandfonline.com
Stephen-Evans,ACS Publications,https://pubs.acs.org
Stephen-Evans,JAMA Surgery,http://archsurg.jamanetwork.com
Stephen-Evans,HuffPost UK,http://huffingtonpost.co.uk
Stephen-Evans,Cell,http://cell.com
Stephen-Evans,Writer's Digest,http://writersdigest.com
Phil-Mercer,Revista Época,https://oglobo.globo.com/epoca/
Phil-Mercer,Terra,http://terra.com.br
Phil-Mercer,The Telegraph,https://www.telegraph.co.uk/
Phil-Mercer,Yahoo India,https://in.news.yahoo.com/
Phil-Mercer,Yahoo News,https://news.yahoo.com/
Phil-Mercer,Yahoo,https://yahoo.com/
Phil-Mercer,Voice of America (VOA),http://voanews.com/
Phil-Mercer,Yahoo Brazil,http://br.yahoo.com
Phil-Mercer,Voz de América,https://www.vozdeamerica.com/
Karen-Allen,Variety,http://variety.com/
Karen-Allen,Connecticut Post,http://ctpost.com/
Karen-Allen,Greenwich Time,http://greenwichtime.com
Karen-Allen,Charleston Gazette-Mail,http://wvgazettemail.com
Karen-Allen,Danbury News-Times,http://newstimes.com
Karen-Allen,The Telegraph (Macon),http://macon.com
Karen-Allen,Baptist Standard,http://baptiststandard.com
Karen-Allen,The Alabama Baptist,http://www.thealabamabaptist.org/
Karen-Allen,The Pathway,http://mbcpathway.com
Karen-Allen,The Aquila Report,http://theaquilareport.com/
Paul-Moss,Authority Magazine,https://medium.com/authority-magazine
Paul-Moss,The Epoch Times,https://www.theepochtimes.com/
Paul-Moss,Thrive Global,http://thriveglobal.com
Nick-Higham,The Star (Kenya),http://the-star.co.ke
Nick-Higham,The Stage,http://thestage.co.uk
Nick-Higham,History Today,http://historytoday.com
Nick-Higham,SIAM News,http://sinews.siam.org
Nick-Higham,The Actuary (IFoA),http://theactuary.com
Imogen-Foulkes,SwissInfo.ch,http://swissinfo.ch
Imogen-Foulkes,UOL Notícias,http://noticias.uol.com.br
Imogen-Foulkes,BBC Mundo,http://www.bbc.com/mundo
Imogen-Foulkes,La Nación (Argentina),http://lanacion.com.ar
Imogen-Foulkes,Yahoo,https://yahoo.com/
Imogen-Foulkes,El Imparcial,http://elimparcial.com
Imogen-Foulkes,AllAfrica,http://allafrica.com
Imogen-Foulkes,The New Humanitarian,http://thenewhumanitarian.org
Imogen-Foulkes,Yahoo Brazil,http://br.yahoo.com
Imogen-Foulkes,Zodiak Broadcasting Station,http://zodiakmalawi.com/
Imogen-Foulkes,EMEA Tribune,http://emeatribune.com
Tom-Bateman,UOL Notícias,http://noticias.uol.com.br
Tom-Bateman,Terra,http://terra.com.br
Tom-Bateman,Estado De Minas,http://em.com.br
Tom-Bateman,Euronews,http://euronews.com
Tom-Bateman,Agenda (World Economic Forum),https://weforum.org/agenda
Tom-Bateman,Sensacine,http://sensacine.com
Tom-Bateman,El Imparcial,http://elimparcial.com
Tom-Bateman,Sotheby's Magazine,http://sothebys.com
Tom-Bateman,La Prensa Gráfica,http://laprensagrafica.com
Tom-Bateman,Winnipeg Free Press,https://www.winnipegfreepress.com/
Calum-McKenzie,Yorkshire Evening Post,http://yorkshireeveningpost.co.uk/
Charlotte-McDonald,BBC Mundo,http://www.bbc.com/mundo
Charlotte-McDonald,Deseret News,https://deseret.com/
Charlotte-McDonald,Des Moines Register,http://desmoinesregister.com/
Charlotte-McDonald,London Review of Books,http://lrb.co.uk
Charlotte-McDonald,CornwallLive,http://cornwalllive.com
Charlotte-McDonald,This Is Local London,http://thisislocallondon.co.uk
Charlotte-McDonald,Ealing Times,http://ealingtimes.co.uk
Charlotte-McDonald,Hillingdon Times,http://hillingdontimes.co.uk
Vibeke-Venema,UOL Notícias,http://noticias.uol.com.br
Vibeke-Venema,BBC Mundo,http://www.bbc.com/mundo
Vibeke-Venema,Revista Época,https://oglobo.globo.com/epoca/
Vibeke-Venema,Terra,http://terra.com.br
Vibeke-Venema,Yahoo,https://yahoo.com/
Vibeke-Venema,Estado De Minas,http://em.com.br
Vibeke-Venema,Yahoo Brazil,http://br.yahoo.com
Vibeke-Venema,The Baptist Messenger,http://baptistmessenger.com
Mark-Savage,Splash UOL,https://www.uol.com.br/splash/
Mark-Savage,UOL,http://uol.com.br
Mark-Savage,UOL Notícias,http://noticias.uol.com.br
Mark-Savage,BBC Mundo,http://www.bbc.com/mundo
Mark-Savage,Revista Época,https://oglobo.globo.com/epoca/
Mark-Savage,Yahoo Entertainment,https://www.yahoo.com/entertainment/
Mark-Savage,Bad Deck Breakdowns,
Mark-Savage,Terra,http://terra.com.br
Mark-Savage,The Telegraph,https://www.telegraph.co.uk/
Mark-Savage,Yahoo Canada,https://ca.news.yahoo.com/
Helena-Merriman,BBC Mundo,http://www.bbc.com/mundo
Helena-Merriman,Daily Mail,https://www.dailymail.co.uk/home/index.html
Helena-Merriman,Post Outlook (The Washington Post),https://www.washingtonpost.com/outlook/
Helena-Merriman,The Wall Street Journal,http://wsj.com/
Helena-Merriman,The Times,http://thetimes.co.uk/
Helena-Merriman,HuffPost UK,http://huffingtonpost.co.uk
Helena-Merriman,AIR MAIL,http://airmail.news
Helena-Merriman,CrimeReads,http://crimereads.com
Catherine-Lee,The Conversation,http://theconversation.com
Catherine-Lee,Phys.org,http://phys.org
Catherine-Lee,Buffalo News,http://buffalonews.com/
Catherine-Lee,Honolulu Star-Advertiser,http://staradvertiser.com/
Catherine-Lee,Schools Week,http://schoolsweek.co.uk
Catherine-Lee,Yale Daily News,http://yaledailynews.com
Catherine-Lee,The Daily Californian,http://dailycal.org
Catherine-Lee,Brighton Magazine,http://magazine.brighton.co.uk
Catherine-Lee,Delta Democrat Times,http://ddtonline.com
Catherine-Lee,TeachingTimes,http://teachingtimes.com
Kevin-Peachey,UOL,http://uol.com.br
Kevin-Peachey,BBC Mundo,http://www.bbc.com/mundo
Kevin-Peachey,Revista Época,https://oglobo.globo.com/epoca/
Kevin-Peachey,Terra,http://terra.com.br
Kevin-Peachey,Yahoo News,https://news.yahoo.com/
Kevin-Peachey,Yahoo News Australia,https://au.news.yahoo.com/
Kevin-Peachey,La Nación (Argentina),http://lanacion.com.ar
Kevin-Peachey,Yahoo,https://yahoo.com/
Kevin-Peachey,Yahoo Finance,https://finance.yahoo.com/
Kevin-Peachey,Yahoo Sports,https://sports.yahoo.com/
Paul-Adams,BBC Mundo,http://www.bbc.com/mundo
Paul-Adams,Medium,http://medium.com/
Paul-Adams,Yahoo,https://yahoo.com/
Paul-Adams,The Globe and Mail,http://theglobeandmail.com
Paul-Adams,New Zealand Herald,http://nzherald.co.nz/
Paul-Adams,Baltimore Sun,http://baltimoresun.com/
Paul-Adams,Taylor & Francis,https://tandfonline.com/
Paul-Adams,The Epoch Times,https://www.theepochtimes.com/
Paul-Adams,Royal Society of Chemistry,http://pubs.rsc.org
Robin-Levinson-King,The (Toronto) Star,http://thestar.com/
Robin-Levinson-King,National Post,http://nationalpost.com/
Robin-Levinson-King,Ottawa Citizen,http://ottawacitizen.com
Robin-Levinson-King,Journal of Food Protection,https://meridian.allenpress.com/jfp
Robin-Levinson-King,Leadership Newspaper,http://leadership.ng
Robin-Levinson-King,International Tax Review,http://internationaltaxreview.com
Robin-Levinson-King,Caledon Enterprise,http://caledonenterprise.com
Lucy-Williamson,Daily Mirror,http://mirror.co.uk/
Lucy-Williamson,Daily Express,http://express.co.uk/
Lucy-Williamson,The Chronicle,http://chroniclelive.co.uk/
Lucy-Williamson,Yorkshire Live,http://examinerlive.co.uk
Lucy-Williamson,News Sniffer,http://newssniffer.co.uk
Lucy-Williamson,Play Crazy Game,http://playcrazygame.com
Lucy-Williamson,Yerepouni Daily News,http://yerepouni-news.com
Lucy-Williamson,EMEA Tribune,http://emeatribune.com
Roger-Harrabin,BBC Mundo,http://www.bbc.com/mundo
Roger-Harrabin,G1,http://g1.globo.com
Roger-Harrabin,The Guardian,http://theguardian.com/
Roger-Harrabin,Terra,http://terra.com.br
Roger-Harrabin,Yahoo Canada,https://ca.news.yahoo.com/
Roger-Harrabin,Yahoo News,https://news.yahoo.com/
Roger-Harrabin,Yahoo,https://yahoo.com/
Roger-Harrabin,Yahoo Finance,https://finance.yahoo.com/
Roger-Harrabin,Estado De Minas,http://em.com.br
Andrew-Walker,Forbes,http://forbes.com
Andrew-Walker,The Guardian,http://theguardian.com/
Andrew-Walker,The IMDb Show,http://imdb.com/show
Andrew-Walker,Newsweek,http://newsweek.com
Andrew-Walker,The Hollywood Reporter,http://hollywoodreporter.com/
Andrew-Walker,Yahoo,https://yahoo.com/
Andrew-Walker,People Magazine,http://people.com
Andrew-Walker,The (Toronto) Star,http://thestar.com/
Andrew-Walker,New York Magazine,http://nymag.com
Anthony-Reuben,Daily Mail,https://www.dailymail.co.uk/home/index.html
Anthony-Reuben,Yahoo Finance,https://finance.yahoo.com/
Anthony-Reuben,Yahoo Sports,https://sports.yahoo.com/
Anthony-Reuben,HuffPost UK,http://huffingtonpost.co.uk
Carrie-Gracie,The Guardian,http://theguardian.com/
Carrie-Gracie,The Telegraph,https://www.telegraph.co.uk/
Carrie-Gracie,Yahoo Singapore,https://sg.news.yahoo.com/
Carrie-Gracie,Financial Times,http://ft.com/
Carrie-Gracie,The Times of India,http://timesofindia.indiatimes.com
Carrie-Gracie,Business Standard,http://business-standard.com/
Carrie-Gracie,TODAY (Singapore),http://todayonline.com
Carrie-Gracie,Business Post,http://businesspost.ie/
Carrie-Gracie,Daily Business,http://dailybusinessgroup.co.uk
Laurence-Peter,UOL Notícias,http://noticias.uol.com.br
Laurence-Peter,BBC Mundo,http://www.bbc.com/mundo
Laurence-Peter,La Nación (Argentina),http://lanacion.com.ar
Laurence-Peter,Estado De Minas,http://em.com.br
Laurence-Peter,Flipboard,http://flipboard.com
Laurence-Peter,Royal Society of Chemistry,http://pubs.rsc.org
Laurence-Peter,El Imparcial,http://elimparcial.com
Laurence-Peter,La Prensa Gráfica,http://laprensagrafica.com
Laurence-Peter,Business.com,http://business.com
Laurence-Peter,Leadership Newspaper,http://leadership.ng
James-Gallagher,BBC Radio 4,https://bbc.co.uk/radio4
James-Gallagher,Folha de S.Paulo,https://www.folha.uol.com.br/
James-Gallagher,UOL,http://uol.com.br
